Transporter	Inhibitor	KI (µM)	IC50 (µM)	Substrate used	Cell system	References
MRP2	Nikethamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Norfloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Paroxetine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vincristine sulfate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Indoramin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Kanamycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ketanserin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	LEFLUNOMIDE		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lomustine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lumiracoxib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gemcitabine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bimatoprost		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ezetimibe		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Itraconazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pranlukast		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clofibrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	MK-571		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mycophenolate Mofetil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	17alpha-ethinylestradiol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	GDC-0941 bimesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Midecamycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Norethindrone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sertindole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amlexanox		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cloprostenol sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carprofen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Camptothecin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tubocurarine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nalidixic acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Allopurinol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Azithromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Butorphanol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorthalidone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cimetidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dapsone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dexbrompheniramine maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dirithromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Domperidone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	propylthiouracil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ketotifen fumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mesna		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Metoclopramide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Metoprolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Loratadine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Latanoprost		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Norethindrone Acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Finasteride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Entacapone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dicloxacillin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Erythromycin Estolate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Neratinib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dactolisib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Etoricoxib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Feprazone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pirinixic acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ketorolac tromethamine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vinblastine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ceftriaxone sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amitriptyline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amoxicillin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Anastrozole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Anthralin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Baclofen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Benzocaine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bortezomib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bupropion hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Captopril		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carbamazepine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorpropamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cladribine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clofarabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clomipramine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	cp-690550		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dexamethasone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dexlansoprazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ifosfamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Indapamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fludarabine phosphate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	GALANTAMINE		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Didanosine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nebivolol hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sitagliptin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tilorone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Melatonin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Urapidil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Procyclidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mibefradil hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amprenavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Imatinib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lopinavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Digitoxin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clopidogrel bisulfate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Testosterone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Miconazole nitrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pranoprofen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Papaverine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefuroxime axetil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Teniposide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Aminophylline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Albuterol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Artesunate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atosiban		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Betamipron		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bisacodyl		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Brompheniramine maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Busulphan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cabergoline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefotetan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorpromazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Citalopram		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clioquinol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clozapine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Desloratadine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Efavirenz		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Entecavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pemirolast potassium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Phenformin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Prochlorperazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Linezolid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Varenicline tartrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pregabalin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tizanidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fluconazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Triamcinolone diacetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nalmefene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Xamoterol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Terbutaline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pefloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Neostigmine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nortriptyline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Telbivudine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vecuronium bromide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Miglitol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nimodipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tigecycline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Somatostatin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Valsartan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Alisporivir		18	"5(6)-carboxy-2',7'-dichlorofluorescein"	MRP2-expressing sf9 vesicles	25310383
MRP2	Cyclosporine A		20	calcein AM	MRP2-expressing MDCK-II cells	27393949
MRP2	Cyclosporine A		25.6	calcein AM	MRP2-expressing MDCK-II cells	27393949
